day
"0,60,12,90,6,60,16,60,2,30,3,210,16,60,6,60,2,45,10,45,4,135,6,20,2,30,1,55,6,30,2,60,10,60,0,330"
"0,120,1,40,16,30,3,310,10,50,16,35,8,290,16,45,10,145,4,200,0,175"
"0,0,3,190,12,50,1,30,2,30,16,60,8,240,2,60,16,180,3,120,16,60,10,60,6,60,4,60,0,240"
"0,60,0,60,0,60,1,60,1,30,12,60,2,30,8,270,2,30,4,60,3,360,1,30,2,15,10,55,0,260"
"0,240,1,30,6,30,3,180,4,240,12,120,2,120,0,480"
"0,300,1,15,6,10,2,35,9,60,12,120,6,25,2,50,4,75,16,40,3,350,16,180,0,180"
"0,240,9,120,2,30,9,150,6,60,2,60,9,60,4,240,1,30,10,30,6,60,0,360"
"0,90,12,100,1,5,2,25,9,10,6,75,16,35,8,50,10,110,4,105,16,50,0,20,2,30,3,330,16,45,2,30,4,60,0,270"
"0,100,1,20,6,40,16,80,3,480,4,60,10,60,9,40,11,140,7,60,2,60,10,60,0,240"
"0,150,1,30,6,15,16,45,3,240,16,60,8,300,16,30,2,60,4,30,10,30,10,30,4,120,10,40,2,80,0,180"
"0,300,6,25,2,35,4,120,1,30,4,85,2,140,4,135,10,30,4,60,10,30,9,30,2,60,0,360"
"0,195,1,30,6,35,16,40,3,360,16,35,6,25,2,30,9,35,4,145,12,60,1,30,10,150,0,270"
"0,120,3,340,7,265,16,30,8,25,2,330,16,30,4,240,1,20,6,25,0,15"
"0,150,1,60,6,30,2,30,16,30,8,240,16,75,2,25,11,20,3,360,16,60,15,15,2,30,6,15,4,55,0,245"
"0,120,1,20,6,100,8,600,3,300,0,300"
"0,110,0,5,1,35,16,25,3,125,2,240,11,60,12,90,16,40,2,80,0,30,4,120,1,120,0,360"
"0,100,1,20,6,20,2,20,16,20,3,240,12,150,2,60,16,30,4,150,16,35,3,115,16,25,1,25,2,20,4,80,10,30,10,30,0,270"
"0,120,16,60,3,360,16,120,2,90,4,150,5,120,2,120,0,300"
"0,240,6,30,2,30,4,300,16,120,3,240,16,120,10,120,0,240"
"0,210,1,60,16,30,8,60,6,240,2,70,3,170,12,150,4,90,10,60,0,300"
"0,210,1,20,6,25,16,45,3,270,2,90,3,200,12,100,16,100,4,110,0,270"
"0,270,1,30,3,90,10,15,16,15,3,0,2,120,3,100,16,40,2,40,11,40,16,20,7,60,16,0,4,180,10,60,1,30,15,60,0,270"
"0,35,5,25,16,60,12,65,2,55,16,30,1,65,6,25,4,120,0,960"
"0,60,15,30,2,20,16,70,3,240,11,120,3,60,16,90,2,15,16,75,11,125,16,85,2,30,1,30,4,90,0,300"
"0,80,1,40,16,30,8,485,16,45,3,380,16,20,2,60,0,300"
"0,150,1,25,1,20,6,15,6,15,16,10,16,85,5,10,5,275,16,100,2,120,11,45,4,0,16,55,11,65,4,70,10,125,10,60,0,195"
"0,180,12,120,8,420,3,60,16,60,3,240,3,15,16,15,6,20,1,25,0,285"
"0,60,0,60,1,30,16,30,3,360,3,5,8,115,8,5,16,35,2,20,8,120,8,5,10,25,4,210,4,5,1,20,6,15,2,50,0,265,0,5"
"0,155,16,25,8,450,16,30,3,400,1,20,4,120,0,240"
"0,180,16,60,8,480,16,60,3,120,16,60,4,240,0,240"
"0,205,6,10,2,25,10,30,1,90,16,60,8,360,16,60,6,20,2,40,4,120,10,90,2,120,0,210"
"0,120,1,30,2,25,16,20,3,340,11,65,16,90,2,50,0,110,10,95,4,90,10,95,0,310"
"0,200,12,100,1,30,2,40,16,50,3,135,16,35,2,35,10,80,16,15,3,350,16,25,0,345"
"0,180,1,30,6,30,4,30,16,40,3,110,12,0,0,150,7,30,2,120,3,120,3,120,3,30,4,30,10,415,0,5"
"0,55,6,35,16,90,3,120,16,60,8,300,2,60,3,270,2,15,4,135,0,300"
"0,105,1,65,16,40,8,180,2,240,16,70,2,20,3,320,1,65,6,65,0,270"
"0,180,3,120,6,30,2,210,12,120,6,60,3,120,3,120,3,120,6,30,2,30,0,300"
"0,105,1,45,16,30,3,120,2,15,16,45,12,90,16,30,8,180,2,30,16,30,11,95,16,25,3,240,16,20,2,25,4,15,10,30,0,270"
"0,180,1,60,16,60,8,360,2,60,8,60,16,60,3,180,16,50,10,40,1,60,0,270"
"0,240,1,20,2,10,16,30,3,960,0,180"
"0,30,1,30,6,30,16,90,3,360,16,90,8,390,16,90,2,30,4,120,0,180"
"0,240,1,60,3,480,4,480,0,180"
"0,75,1,30,6,55,16,30,3,110,2,120,16,35,7,15,9,20,9,50,6,60,4,90,2,5,16,40,3,115,3,100,2,10,12,110,16,45,1,75,0,250"
"0,35,1,25,16,120,3,420,2,60,4,60,3,120,16,130,9,80,6,30,4,150,0,210"
"0,60,15,20,6,20,1,20,16,60,3,420,16,30,8,150,4,305,0,355"
"0,225,1,5,6,10,16,60,8,80,2,135,16,190,3,95,2,30,3,190,16,145,4,70,0,205"
"0,120,1,75,16,45,3,10,2,180,2,50,4,120,8,330,16,95,4,135,1,30,0,250"
"0,300,6,30,2,30,1,60,16,90,3,150,2,60,3,120,4,120,16,90,2,30,4,180,0,180"
"0,120,1,40,16,80,8,480,16,170,3,120,16,105,6,15,2,5,10,80,0,225"
"0,180,1,40,2,35,16,45,3,285,16,75,2,60,4,180,8,180,2,45,1,5,10,50,0,260"
"0,60,1,40,6,30,16,40,3,100,2,30,16,250,4,55,16,50,8,65,2,345,4,105,0,270"
"0,60,1,35,2,25,9,30,16,45,3,165,3,5,4,55,3,180,16,60,5,185,16,85,2,35,5,30,10,25,9,45,4,50,10,35,0,290"
"0,240,8,240,4,120,2,60,16,60,3,90,16,70,2,50,10,90,1,95,0,325"
"0,30,16,30,4,60,9,20,1,10,6,15,2,20,16,15,1,40,3,20,10,10,2,100,0,1070"
